theta/2theta,Intensity
8.399999619,395.7805481
8.409999847,368.5192261
8.420000076,350.6018982
8.430000305,342.8032227
8.43999958,403.7459106
8.449999809,393.3964844
8.460000038,337.7747803
8.470000267,334.3412781
8.479999542,367.1546631
8.489999771,371.1664124
8.5,377.0891418
8.510000229,355.8205261
8.520000458,364.5569458
8.529999733,362.2167358
8.539999962,352.486145
8.550000191,317.9261169
8.56000042,335.8171997
8.569999695,335.6237183
8.579999924,334.5786743
8.590000153,377.9723816
8.600000381,377.4736328
8.609999657,341.6666565
8.619999886,339.8988037
8.630000114,332.2138672
8.640000343,332.0248718
8.649999619,350.4186096
8.659999847,367.7337036
8.670000076,385.4324341
8.680000305,425.9936829
8.68999958,396.8706055
8.699999809,317.9367981
8.710000038,359.8007813
8.720000267,391.6666565
8.729999542,369.5172424
8.739999771,337.5
8.75,342.5764771
8.760000229,380.3542175
8.770000458,404.8336487
8.779999733,378.3494263
8.789999962,386.6711121
8.800000191,385.0143433
8.81000042,365.0563965
8.819999695,368.1660156
8.829999924,362.9204407
8.840000153,343.6568298
8.850000381,373.6924133
8.859999657,358.8590393
8.869999886,377.5442505
8.880000114,394.3991699
8.890000343,387.9517822
8.899999619,345.2165222
8.909999847,361.2382507
8.920000076,355.3935852
8.930000305,362.8954773
8.93999958,365.8177185
8.949999809,380.6348877
8.960000038,370.3508301
8.970000267,373.947113
8.979999542,352.0990601
8.989999771,354.0888367
9,371.9060364
9.010000229,365.1254883
9.020000458,374.7830505
9.029999733,405.0108643
9.039999962,397.9764099
9.050000191,334.0453186
9.06000042,302.2521362
9.069999695,341.9231873
9.079999924,355.1566162
9.090000153,325.9535522
9.100000381,348.5109558
9.109999657,350.2831116
9.119999886,358.3333435
9.130000114,355.3899536
9.140000343,360.261322
9.149999619,399.6083374
9.159999847,405.5046387
9.170000076,376.2529297
9.180000305,407.3634644
9.18999958,345.4004211
9.199999809,342.3014832
9.210000038,387.6096191
9.220000267,366.0206604
9.229999542,292.7807312
9.239999771,283.62146
9.25,351.644104
9.260000229,398.5804749
9.270000458,369.4199829
9.279999733,373.4982605
9.289999962,423.8237
9.300000191,344.6451111
9.31000042,326.1132202
9.319999695,377.4810486
9.329999924,386.6350403
9.340000153,325.4621582
9.350000381,321.2480164
9.359999657,357.8953552
9.369999886,322.8297119
9.380000114,379.7550354
9.390000343,394.2003784
9.399999619,365.5700684
9.409999847,403.0932617
9.420000076,385.1453857
9.430000305,360.445343
9.43999958,349.1346436
9.449999809,371.1390686
9.460000038,377.8746338
9.470000267,394.6435242
9.479999542,355.4363708
9.489999771,368.4449158
9.5,404.2486267
9.510000229,428.3235779
9.520000458,396.7196655
9.529999733,373.5777588
9.539999962,419.2852173
9.550000191,379.850708
9.56000042,355.1271667
9.569999695,386.282074
9.579999924,367.5749207
9.590000153,354.5018616
9.600000381,413.0646057
9.609999657,380.2677612
9.619999886,308.9413452
9.630000114,296.9184875
9.640000343,367.5763245
9.649999619,409.8939514
9.659999847,333.672821
9.670000076,327.6417542
9.680000305,415.0596008
9.68999958,374.7218323
9.699999809,336.9150696
9.710000038,404.5372925
9.720000267,388.9923096
9.729999542,407.5448303
9.739999771,394.2601929
9.75,350.0521851
9.760000229,386.9624939
9.770000458,368.015625
9.779999733,377.8463745
9.789999962,362.5
9.800000191,361.4140625
9.81000042,381.0175476
9.819999695,415.7481079
9.829999924,345.1978455
9.840000153,384.2255554
9.850000381,354.0416565
9.859999657,337.5791931
9.869999886,385.5085144
9.880000114,439.605011
9.890000343,389.6269531
9.899999619,371.8619995
9.909999847,376.0229492
9.920000076,381.2011414
9.930000305,385.4769897
9.93999958,404.3114929
9.949999809,458.3314514
9.960000038,371.211792
9.970000267,349.7879028
9.979999542,380.192688
9.989999771,417.9557495
10,361.9386597
10.01000023,386.5342102
10.02000046,383.3333435
10.02999973,370.9266357
10.03999996,347.19104
10.05000019,400.7897949
10.06000042,389.9957275
10.06999969,448.1873474
10.07999992,455.0944519
10.09000015,394.4793396
10.10000038,377.7432251
10.10999966,382.0477905
10.11999989,367.9179688
10.13000011,388.3972778
10.14000034,393.4498596
10.14999962,386.7117004
10.15999985,349.8226013
10.17000008,391.460907
10.18000031,375.8687744
10.18999958,393.8391724
10.19999981,445.7130432
10.21000004,427.4632874
10.22000027,418.2953491
10.22999954,403.2915039
10.23999977,375.8218689
10.25,364.069458
10.26000023,422.6820068
10.27000046,375.5804749
10.27999973,412.9299011
10.28999996,365.1808777
10.30000019,442.6315002
10.31000042,425.9875793
10.31999969,418.8126526
10.32999992,430.1654663
