alpha,I
0.455,14.4
0.449,14.8
0.444,15.2
0.438,15.6
0.433,16
0.428,16.5
0.422,17.1
0.417,17.6
0.412,18.4
0.406,18.9
0.401,19.6
0.396,20.2
0.39,20.9
0.385,21.6
0.38,22.4
0.374,23.1
0.369,23.9
0.364,24.7
0.358,25.6
0.353,26.4
0.348,27.3
0.342,28.4
0.337,29.4
0.332,30.6
0.326,31.7
0.321,32.9
0.316,34.1
0.31,35.5
0.305,37
0.299,38.5
0.294,40.1
0.289,41.7
0.283,43.5
0.278,45.4
0.273,47.4
0.267,49.3
0.262,51.5
0.257,53.7
0.251,55.8
0.246,57.9
0.241,59.9
0.235,61.9
0.23,64.2
0.225,66.3
0.219,68.7
0.214,70.9
0.209,73.3
0.203,75.7
0.198,77.9
0.193,80.3
0.187,82.7
0.182,84.7
0.176,86.7
0.171,88.8
0.166,90.8
0.16,92.1
0.155,94.2
0.15,95.1
0.144,96.2
0.139,97
0.134,99.4
0.128,99
0.123,100
0.118,98.8
0.112,100
0.107,99.2
0.102,98.8
0.096,98
0.091,100
0.086,98.8
0.08,100
0.075,100
0.07,100
0.064,100
0.059,100
0.053,100
0.048,100
0.043,100
0.037,100
0.032,100
0.027,100
0.021,100
0.016,100
0.011,100
0.005,100
0,100
-0.005,100
-0.011,100
-0.016,100
-0.021,100
-0.027,100
-0.032,100
-0.037,100
-0.043,100
-0.048,100
-0.053,100
-0.059,100
-0.064,100
-0.07,100
-0.075,100
-0.08,100
-0.086,100
-0.091,100
-0.096,100
-0.102,100
-0.107,100
-0.112,100
-0.118,100
-0.123,100
-0.128,100
-0.134,100
-0.139,100
-0.144,100
-0.15,100
-0.155,100
-0.16,100
-0.166,100
-0.171,98.4
-0.176,96.7
-0.182,94.7
-0.187,92.3
-0.193,90.2
-0.198,88
-0.203,85.6
-0.209,83.2
-0.214,80.8
-0.219,78.4
-0.225,75.9
-0.23,73.5
-0.235,71.1
-0.241,68.8
-0.246,66.5
-0.251,64.3
-0.257,62.2
-0.262,60.2
-0.267,58.1
-0.273,56.1
-0.278,54.3
-0.283,52.6
-0.289,50.9
-0.294,49.3
-0.299,47.7
-0.305,46.3
-0.31,44.8
-0.316,43.6
-0.321,42.2
-0.326,40.9
-0.332,39.6
-0.337,38.4
-0.342,37.3
-0.348,36.1
-0.353,35.2
-0.358,34
-0.364,32.8
-0.369,31.8
-0.374,30.8
-0.38,30
-0.385,29.2
-0.39,28.4
-0.396,27.6
-0.401,26.8
-0.406,26
-0.412,25.2
-0.417,24.4
-0.422,23.6
-0.428,22.8
-0.433,22.4
-0.438,21.7
-0.444,21
-0.449,20.5
-0.455,19.9
-0.46,19.4
-0.465,18.9
-0.471,18.4
-0.476,18
-0.481,17.6
-0.487,17.2
-0.492,16.7
-0.497,16.3
-0.503,16
-0.508,15.6
-0.513,15.2
-0.519,15
-0.524,14.6
-0.529,14.3
-0.535,13.9
-0.54,13.6
-0.545,13.4
-0.551,13.2
-0.556,12.8
-0.561,12.6
-0.567,12.3
-0.572,12
-0.578,11.8
-0.583,11.6
-0.588,11.6
-0.594,11.4
-0.599,11.2
-0.604,11.2
-0.61,11.2
-0.615,11.1
-0.62,10.9
-0.626,10.8
-0.631,10.8
-0.636,10.8
-0.642,10.6
-0.647,10.5
-0.652,10.4
-0.658,10.4
-0.663,10.4
-0.668,10.4
-0.674,10.4
-0.679,10.4
-0.684,10.4
-0.69,10.4
-0.695,10.5
-0.701,10.8
-0.706,11
-0.711,11.2
-0.717,11.6
-0.722,11.9
-0.727,12.3
-0.733,12.7
-0.738,13.1
-0.743,13.5
-0.749,14
-0.754,14.7
-0.759,15.2
-0.765,16
-0.77,16.9
-0.775,18
-0.781,19.1
-0.786,20.3
-0.791,21.3
-0.797,22.5
-0.802,24
-0.807,25.7
-0.813,27.7
-0.818,30.3
-0.823,33.5
-0.829,37.4
-0.834,42.3
-0.84,48.2
-0.845,55
-0.85,62.3
-0.856,69.5
-0.861,75.7
-0.866,80.1
-0.872,83
-0.877,83.9
-0.882,83.4
-0.888,81.4
-0.893,78.6
-0.898,75.3
-0.904,71.8
-0.909,68.5
-0.914,65.6
-0.92,62.9
-0.925,60.5
-0.93,58.1
-0.936,56
-0.941,53.9
-0.946,51.8
-0.952,49.8
-0.957,47.7
-0.962,45.7
-0.968,44
-0.973,42.3
-0.979,40.7
-0.984,39.1
-0.989,37.5
-0.995,35.9
-1,34.4
-1.005,33.2
-1.011,31.8
-1.016,30.6
-1.021,29.4
-1.027,28.3
-1.032,27.2
-1.037,26.4
-1.043,25.5
-1.048,24.6
-1.053,23.8
-1.059,22.8
-1.064,21.6
-1.069,20.5
-1.075,20
-1.08,19.6
-1.085,19.2
-1.091,18.6
-1.096,18.1
-1.101,17.6
