alpha,I
1.395,7.4
1.39,7.4
1.385,7.6
1.379,7.8
1.374,8.1
1.369,8.5
1.363,8.9
1.358,9.6
1.353,10.4
1.347,11.6
1.342,13.2
1.337,15.6
1.331,18.7
1.326,22.4
1.321,26.6
1.315,30.6
1.31,33.6
1.305,34.8
1.299,34.7
1.294,33.5
1.289,32
1.283,30.8
1.278,30.4
1.273,30.9
1.267,32.6
1.262,35
1.256,37.5
1.251,39.4
1.246,40.2
1.24,39.5
1.235,37.4
1.23,34.6
1.224,31.4
1.219,28.2
1.214,25.2
1.208,22.6
1.203,20.3
1.198,18.4
1.192,16.9
1.187,15.6
1.182,14.7
1.176,13.8
1.171,13.1
1.166,12.4
1.16,12
1.155,11.6
1.15,11.2
1.144,10.8
1.139,10.4
1.134,10
1.128,9.6
1.123,9.4
1.118,9.2
1.112,9.2
1.107,9
1.101,8.8
1.096,8.8
1.091,8.8
1.085,8.8
1.08,8.7
1.075,8.7
1.069,8.7
1.064,8.8
1.059,8.8
1.053,8.8
1.048,9.1
1.043,9.2
1.037,9.6
1.032,10
1.027,10.6
1.021,11.3
1.016,12.1
1.011,13.2
1.005,14.4
1,15.8
0.995,17.6
0.989,19.9
0.984,22.7
0.979,26.2
0.973,30.2
0.968,34.6
0.962,39.2
0.957,43.5
0.952,46.8
0.946,49.2
0.941,50.1
0.936,49.8
0.93,48.6
0.925,47.1
0.92,45.5
0.914,44.3
0.909,43.5
0.904,43.5
0.898,44
0.893,45.4
0.888,47.3
0.882,49.7
0.877,52.1
0.872,54.5
0.866,56.2
0.861,56.9
0.856,56.5
0.85,55.2
0.845,52.9
0.84,50.1
0.834,46.9
0.829,43.7
0.823,40.5
0.818,37.6
0.813,34.8
0.807,32.3
0.802,30
0.797,27.9
0.791,26
0.786,24.3
0.781,22.8
0.775,21.5
0.77,20.3
0.765,19.1
0.759,18
0.754,17.2
0.749,16.4
0.743,15.7
0.738,15.1
0.733,14.6
0.727,14.1
0.722,13.7
0.717,13.2
0.711,12.8
0.706,12.5
0.701,12.3
0.695,12
0.69,11.7
0.684,11.6
0.679,11.3
0.674,11.2
0.668,11
0.663,10.8
0.658,10.8
0.652,10.6
0.647,10.4
0.642,10.3
0.636,10.1
0.631,10
0.626,9.9
0.62,9.7
0.615,9.7
0.61,9.6
0.604,9.6
0.599,9.6
0.594,9.6
0.588,9.6
0.583,9.6
0.578,9.6
0.572,9.6
0.567,9.6
0.561,9.6
0.556,9.6
0.551,9.7
0.545,9.8
0.54,10
0.535,10.1
0.529,10.4
0.524,10.4
0.519,10.7
0.513,10.9
0.508,11.2
0.503,11.3
0.497,11.6
0.492,12
0.487,12.4
0.481,12.6
0.476,13
0.471,13.4
0.465,13.8
0.46,14.4
0.455,14.9
0.449,15.6
0.444,16.4
0.438,17.2
0.433,18
0.428,18.9
0.422,20
0.417,21.1
0.412,22.3
0.406,23.5
0.401,24.9
0.396,26.5
0.39,28
0.385,29.7
0.38,31.4
0.374,33.3
0.369,35.3
0.364,37.3
0.358,39.3
0.353,41.6
0.348,43.8
0.342,46.1
0.337,48.5
0.332,50.9
0.326,53.1
0.321,55.4
0.316,57.7
0.31,59.7
0.305,61.7
0.299,63.6
0.294,65.2
0.289,66.8
0.283,68.3
0.278,69.5
0.273,70.7
0.267,71.5
0.262,72.4
0.257,72.8
0.251,73.3
0.246,73.4
0.241,73.5
0.235,73.4
0.23,73.2
0.225,72.8
0.219,72.4
0.214,72.1
0.209,71.8
0.203,71.5
0.198,71.3
0.193,71.1
0.187,70.9
0.182,70.5
0.176,70.1
0.171,69.7
0.166,69.2
0.16,68.8
0.155,68.4
0.15,68
0.144,67.7
0.139,67.4
0.134,67.1
0.128,67
0.123,66.8
0.118,66.5
0.112,66.1
0.107,65.6
0.102,65
0.096,64.3
0.091,63.6
0.086,63.2
0.08,62.8
0.075,62.6
0.07,62.6
0.064,62.6
0.059,63
0.053,63.4
0.048,64
0.043,64.4
0.037,64.5
0.032,64.6
0.027,64.6
0.021,64.7
0.016,64.7
0.011,64.7
0.005,64.8
0,65.1
-0.005,65
-0.011,64.9
-0.016,64.9
-0.021,64.9
-0.027,64.9
-0.032,65
-0.037,65.2
-0.043,65.5
-0.048,65.9
-0.053,66.3
-0.059,66.7
-0.064,67.1
-0.07,67.5
-0.075,67.9
-0.08,68.3
-0.086,68.7
-0.091,69.1
-0.096,69.6
-0.102,70.1
-0.107,70.7
-0.112,71.5
-0.118,72.2
-0.123,72.8
-0.128,73.6
-0.134,74.4
-0.139,75.4
-0.144,76.3
-0.15,77.1
-0.155,78
-0.16,78.8
-0.166,79.8
-0.171,80.6
-0.176,81.5
-0.182,82.4
-0.187,83.2
-0.193,83.9
-0.198,84.7
-0.203,85.1
-0.209,85.8
-0.214,86
-0.219,86.5
-0.225,86.7
-0.23,87.1
-0.235,87
-0.241,86.7
-0.246,86.3
-0.251,85.9
-0.257,85.1
-0.262,83.9
-0.267,82.5
-0.273,81.1
-0.278,79.5
-0.283,77.6
-0.289,75.5
-0.294,73.4
-0.299,71.1
-0.305,68.7
-0.31,66.3
-0.316,63.6
-0.321,61
-0.326,58.4
-0.332,56
-0.337,53.6
-0.342,51.2
-0.348,48.9
-0.353,46.6
-0.358,44.4
-0.364,42.4
-0.369,40.4
-0.374,38.6
-0.38,36.9
-0.385,35.4
-0.39,34
-0.396,32.5
-0.401,31.2
-0.406,29.9
-0.412,28.8
-0.417,27.6
-0.422,26.4
-0.428,25.2
-0.433,24.3
-0.438,23.2
-0.444,22.4
-0.449,21.6
-0.455,20.8
-0.46,20
-0.465,19.2
-0.471,18.4
-0.476,17.7
-0.481,17.2
-0.487,16.4
-0.492,16
-0.497,15.6
-0.503,15.2
-0.508,14.8
-0.513,14.3
-0.519,13.9
-0.524,13.5
-0.529,13.1
-0.535,12.7
-0.54,12.3
-0.545,12
-0.551,11.6
-0.556,11.2
-0.561,11.1
-0.567,10.8
-0.572,10.8
-0.578,10.4
-0.583,10.3
-0.588,10
-0.594,9.8
-0.599,9.7
-0.604,9.6
-0.61,9.6
-0.615,9.6
-0.62,9.6
-0.626,9.6
-0.631,9.6
-0.636,9.5
-0.642,9.4
-0.647,9.3
-0.652,9.2
-0.658,9.2
-0.663,9.2
-0.668,9.2
-0.674,9.2
-0.679,9.2
-0.684,9.2
-0.69,9.2
-0.695,9.6
-0.701,9.9
-0.706,10.2
-0.711,10.4
-0.717,10.8
-0.722,11.2
-0.727,11.6
-0.733,12
-0.738,12.4
-0.743,12.8
-0.749,13.5
-0.754,14.3
-0.759,15.1
-0.765,16.2
-0.77,17.6
-0.775,19.1
-0.781,21.1
-0.786,23.4
-0.791,26.2
-0.797,29.5
-0.802,33.3
-0.807,37.3
-0.813,41.5
-0.818,45.3
-0.823,48.4
-0.829,50.4
-0.834,51.5
-0.84,51.8
-0.845,51.5
-0.85,50.9
-0.856,50.1
-0.861,49.5
-0.866,49.1
-0.872,49.2
-0.877,49.6
-0.882,50.5
-0.888,52
-0.893,54
-0.898,56.4
-0.904,58.7
-0.909,60.4
-0.914,61.4
-0.92,61.3
-0.925,60.4
-0.93,58.7
-0.936,56.4
-0.941,54
-0.946,51.5
-0.952,49.1
-0.957,46.8
-0.962,44.5
-0.968,42.5
-0.973,40.6
-0.979,38.9
-0.984,37.3
-0.989,35.8
-0.995,34.4
-1,33.1
-1.005,31.6
-1.011,30.3
-1.016,29.2
-1.021,28
-1.027,26.8
-1.032,25.6
-1.037,24.4
-1.043,23.2
-1.048,22.3
-1.053,21.2
-1.059,20
-1.064,18.8
-1.069,17.8
-1.075,17.2
-1.08,16.5
-1.085,16.1
-1.091,15.6
-1.096,15.2
-1.101,14.8
-1.107,14.4
-1.112,14
-1.118,13.5
-1.123,13.1
-1.128,12.8
-1.134,12.4
-1.139,12.4
-1.144,12.4
-1.15,12.4
-1.155,12.4
-1.16,12.4
-1.166,12.8
-1.171,13.6
-1.176,14.7
-1.182,16.3
-1.187,18.3
-1.192,21.1
-1.198,24
-1.203,26.9
-1.208,29.3
-1.214,31.1
-1.219,32.3
-1.224,33
-1.23,33.4
-1.235,33.8
-1.24,34.2
-1.246,34.6
-1.251,35.5
-1.256,36.8
-1.262,38.2
-1.267,39.6
-1.273,40.8
