alpha,I
1.54,25.2
1.534,28.4
1.529,31.6
1.524,33.6
1.518,33.6
1.513,32
1.508,29.2
1.502,26.4
1.497,23.2
1.492,20.4
1.486,18
1.481,16.4
1.476,15.2
1.47,14
1.465,13.2
1.46,12.4
1.454,11.6
1.449,11.2
1.444,10.8
1.438,10.4
1.433,10
1.428,9.6
1.422,9.6
1.417,9.6
1.411,9.6
1.406,9.6
1.401,9.6
1.395,9.6
1.39,10
1.385,10.4
1.379,10.8
1.374,11.2
1.369,12
1.363,13.6
1.358,15.2
1.353,18
1.347,21.6
1.342,26.4
1.337,31.6
1.331,35.6
1.326,38.4
1.321,38.8
1.315,37.6
1.31,35.2
1.305,32.4
1.299,29.6
1.294,26.8
1.289,24.8
1.283,23.2
1.278,22.4
1.273,22.4
1.267,22.8
1.262,24.4
1.256,26.8
1.251,30
1.246,34
1.24,38
1.235,41.6
1.23,44
1.224,44.8
1.219,43.6
1.214,41.2
1.208,38
1.203,34.8
1.198,31.2
1.192,28
1.187,25.2
1.182,22.4
1.176,20.4
1.171,18.8
1.166,17.6
1.16,16.4
1.155,15.6
1.15,14.8
1.144,14.4
1.139,13.6
1.134,13.2
1.128,12.8
1.123,12.4
1.118,12
1.112,11.6
1.107,11.6
1.101,11.2
1.096,11.2
1.091,11.2
1.085,11.2
1.08,11.2
1.075,11.2
1.069,11.2
1.064,11.6
1.059,11.6
1.053,12
1.048,12.4
1.043,13.2
1.037,14
1.032,14.8
1.027,16
1.021,17.6
1.016,19.6
1.011,22
1.005,25.2
1,29.2
0.995,33.6
0.989,38.4
0.984,43.2
0.979,47.6
0.973,50.4
0.968,52
0.962,52
0.957,50.8
0.952,48.8
0.946,46
0.941,43.2
0.936,40.4
0.93,37.6
0.925,35.2
0.92,33.6
0.914,32
0.909,30.8
0.904,30
0.898,29.6
0.893,30
0.888,30.4
0.882,31.6
0.877,33.2
0.872,35.6
0.866,38.4
0.861,42
0.856,46
0.85,50
0.845,53.6
0.84,56.4
0.834,58.4
0.829,59.2
0.823,58.8
0.818,57.2
0.813,55.2
0.807,52.4
0.802,49.6
0.797,46.4
0.791,43.6
0.786,40.8
0.781,38
0.775,35.6
0.77,33.2
0.765,30.8
0.759,28.8
0.754,27.2
0.749,25.6
0.743,24
0.738,22.8
0.733,21.6
0.727,20.4
0.722,19.6
0.717,18.8
0.711,18
0.706,17.2
0.701,16.4
0.695,16
0.69,15.6
0.684,15.2
0.679,14.8
0.674,14.4
0.668,14
0.663,14
0.658,13.6
0.652,13.2
0.647,13.2
0.642,13.2
0.636,12.8
0.631,12.8
0.626,12.8
0.62,12.8
0.615,12.8
0.61,12.4
0.604,12.4
0.599,12.4
0.594,12.4
0.588,12.4
0.583,12.4
0.578,12.4
0.572,12.4
0.567,12.8
0.561,12.8
0.556,13.2
0.551,13.2
0.545,13.6
0.54,14
0.535,14
0.529,14.4
0.524,14.8
0.519,15.2
0.513,15.6
0.508,16
0.503,16.4
0.497,17.2
0.492,18
0.487,18.8
0.481,19.6
0.476,20.4
0.471,21.6
0.465,22.8
0.46,24
0.455,25.6
0.449,27.6
0.444,29.6
0.438,31.6
0.433,34
0.428,36.4
0.422,38.8
0.417,41.2
0.412,44
0.406,46.8
0.401,49.6
0.396,52.4
0.39,55.2
0.385,58
0.38,60.8
0.374,63.2
0.369,65.2
0.364,67.2
0.358,68.8
0.353,70
0.348,71.2
0.342,72
0.337,72.4
0.332,72.8
0.326,72.8
0.321,72.8
0.316,72.4
0.31,72
0.305,71.6
0.299,70.8
0.294,70
0.289,68.8
0.283,68
0.278,66.8
0.273,66
0.267,64.8
0.262,63.6
0.257,62.8
0.251,61.6
0.246,60.8
0.241,59.6
0.235,58.4
0.23,57.2
0.225,56.4
0.219,55.2
0.214,54.4
0.209,53.2
0.203,52.4
0.198,51.6
0.193,51.2
0.187,50.4
0.182,50
0.176,49.6
0.171,48.8
0.166,48.4
0.16,47.6
0.155,47.2
0.15,46.8
0.144,46.4
0.139,46
0.134,45.6
0.128,45.2
0.123,44.8
0.118,44.4
0.112,44
0.107,43.6
0.102,43.2
0.096,42.4
0.091,42
0.086,41.6
0.08,41.2
0.075,41.2
0.07,40.8
0.064,40.4
0.059,40.4
0.053,40.4
0.048,40.8
0.043,40.8
0.037,40.8
0.032,40.8
0.027,40.8
0.021,40.8
0.016,40.8
0.011,40.8
0.005,40.4
0,40.8
-0.005,40.4
-0.011,40.4
-0.016,40.4
-0.021,40.4
-0.027,40.4
-0.032,40.4
-0.037,40.4
-0.043,40.4
-0.048,40.8
-0.053,40.8
-0.059,40.8
-0.064,41.2
-0.07,41.2
-0.075,41.2
-0.08,41.6
-0.086,42
-0.091,42.4
-0.096,42.4
-0.102,42.4
-0.107,42.8
-0.112,43.2
-0.118,43.6
-0.123,44
-0.128,44.4
-0.134,45.2
-0.139,46
-0.144,46.4
-0.15,47.2
-0.155,48
-0.16,48.4
-0.166,49.2
-0.171,50
-0.176,50.8
-0.182,52
-0.187,53.2
-0.193,54
-0.198,55.2
-0.203,56.4
-0.209,58
-0.214,59.2
-0.219,60.8
-0.225,62.4
-0.23,64
-0.235,66
-0.241,67.6
-0.246,69.2
-0.251,71.2
-0.257,73.2
-0.262,74.8
-0.267,76.4
-0.273,78
-0.278,79.6
-0.283,81.6
-0.289,83.2
